epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2826.41,1.82925,0.92632,1.11696,0.65709,0.45522,0.71481,0.29008,1.92976,0.78634,1.04801,0.00058915,0.00058915,0.00058915
85,2859.11,1.82822,0.90679,1.11699,0.7041,0.44492,0.46695,0.24848,1.84148,0.74411,1.02547,0.0005842,0.0005842,0.0005842
86,2893.31,1.81247,0.91927,1.11968,0.68266,0.46509,0.49611,0.26817,1.83902,0.7474,1.02197,0.00057925,0.00057925,0.00057925
87,2925.23,1.81805,0.91205,1.10526,0.93516,0.46326,0.53073,0.2798,1.87977,0.74066,1.03723,0.0005743,0.0005743,0.0005743
88,2957.97,1.83634,0.91143,1.10978,0.9523,0.45875,0.51268,0.2849,1.85875,0.75405,1.02679,0.00056935,0.00056935,0.00056935
89,2991.67,1.83394,0.9147,1.11541,0.69338,0.46386,0.49565,0.2669,1.84509,0.74168,1.02498,0.0005644,0.0005644,0.0005644
90,3024.01,1.81133,0.91215,1.11117,0.66707,0.45908,0.50241,0.26147,1.84286,0.74002,1.02571,0.00055945,0.00055945,0.00055945
91,3059.31,1.80831,0.9063,1.1017,0.65997,0.7258,0.51294,0.2908,1.83781,0.74154,1.02377,0.0005545,0.0005545,0.0005545
92,3091.38,1.81418,0.91536,1.10783,0.94929,0.45299,0.50573,0.27151,1.84875,0.74141,1.02438,0.00054955,0.00054955,0.00054955
93,3123.35,1.82483,0.9109,1.10969,0.75483,0.63989,0.53956,0.29014,1.85883,0.75492,1.02857,0.0005446,0.0005446,0.0005446
94,3157.16,1.798,0.87967,1.0972,0.6771,0.5823,0.59266,0.35557,1.84652,0.73462,1.0251,0.00053965,0.00053965,0.00053965
95,3189.9,1.77971,0.88995,1.09839,0.6945,0.73576,0.59322,0.30003,1.85902,0.7358,1.02912,0.0005347,0.0005347,0.0005347
96,3221.91,1.79395,0.8904,1.10242,0.67662,0.47141,0.51732,0.24871,1.84813,0.7377,1.02647,0.00052975,0.00052975,0.00052975
97,3255.02,1.77609,0.88165,1.10052,0.71966,0.74169,0.73248,0.42211,1.85009,0.7388,1.02592,0.0005248,0.0005248,0.0005248
98,3288.74,1.79594,0.87284,1.09302,0.67909,0.73894,0.53932,0.28157,1.84136,0.73447,1.02268,0.00051985,0.00051985,0.00051985
